Problem: m=45, n=13, k=6, j=5, s=5
Samples: [3, 11, 14, 17, 18, 24, 28, 34, 35, 37, 39, 40, 42]
Results Count: 259
--------------------
63. 3,14,17,28,35,42
64. 3,14,17,34,35,37
65. 3,14,17,34,39,42
66. 3,14,17,35,37,39
67. 3,14,18,24,28,39
68. 3,14,18,24,35,39
69. 3,14,18,24,40,42
70. 3,14,18,28,35,37
71. 3,14,18,28,40,42
72. 3,14,18,34,35,42
73. 3,14,18,34,37,40
74. 3,14,18,37,39,42
75. 3,14,24,28,34,40
76. 3,14,24,28,37,42
77. 3,14,24,34,35,42
78. 3,14,24,34,39,42
79. 3,14,24,35,37,40
80. 3,14,24,37,39,40
81. 3,14,28,34,37,39
82. 3,14,28,34,40,42
83. 3,14,28,35,39,40
84. 3,14,34,35,39,40
85. 3,14,34,37,40,42
86. 3,14,35,39,40,42
87. 3,17,18,24,28,35
88. 3,17,18,24,34,42
89. 3,17,18,24,35,37
90. 3,17,18,24,37,39
91. 3,17,18,28,34,40
92. 3,17,18,28,35,42
93. 3,17,18,28,37,40
94. 3,17,18,34,35,39
95. 3,17,18,35,40,42
96. 3,17,24,28,34,35
97. 3,17,24,28,40,42
98. 3,17,24,34,37,42
99. 3,17,24,34,39,40
100. 3,17,24,35,39,42
101. 3,17,28,34,37,42
102. 3,17,28,34,39,40
103. 3,17,28,35,39,40
104. 3,17,28,37,39,42
105. 3,17,34,35,40,42
106. 3,17,34,37,39,40
107. 3,17,37,39,40,42
108. 3,18,24,28,34,42
109. 3,18,24,28,37,40
110. 3,18,24,34,35,40
111. 3,18,24,34,37,42
112. 3,18,24,34,39,40
113. 3,18,28,34,35,40
114. 3,18,28,34,37,39
115. 3,18,28,34,39,42
116. 3,18,34,39,40,42
117. 3,18,35,37,39,40
118. 3,18,35,37,40,42
119. 3,24,28,34,37,40
120. 3,24,28,35,39,42
121. 3,24,28,37,39,40
122. 3,24,34,35,37,42
123. 3,24,34,35,39,42
124. 3,24,35,37,39,42
125. 3,24,35,39,40,42
126. 3,28,34,35,37,39
127. 3,28,35,37,40,42
128. 11,14,17,18,24,40
129. 11,14,17,18,28,42
130. 11,14,17,18,34,35
131. 11,14,17,18,37,39
132. 11,14,17,24,28,35
133. 11,14,17,24,34,39
134. 11,14,17,24,37,42
135. 11,14,17,28,34,37
136. 11,14,17,28,39,40
137. 11,14,17,34,40,42
138. 11,14,17,35,37,40
139. 11,14,17,35,39,42
140. 11,14,18,24,28,39
141. 11,14,18,24,34,37
142. 11,14,18,24,35,42
143. 11,14,18,28,34,40
144. 11,14,18,28,35,37
145. 11,14,18,34,39,42
146. 11,14,18,35,39,40
147. 11,14,18,37,40,42
148. 11,14,24,28,34,42
149. 11,14,24,28,37,40
150. 11,14,24,34,35,40
151. 11,14,24,35,37,39
152. 11,14,24,39,40,42
153. 11,14,28,34,35,39
154. 11,14,28,35,40,42
155. 11,14,28,37,39,42
156. 11,14,34,35,37,42
157. 11,14,34,37,39,40
158. 11,17,18,24,28,34
159. 11,17,18,24,35,37
160. 11,17,18,24,39,42
161. 11,17,18,28,35,39
162. 11,17,18,28,37,40
163. 11,17,18,34,37,42
164. 11,17,18,34,39,40
165. 11,17,18,35,40,42
166. 11,17,24,28,37,39
167. 11,17,24,28,40,42
168. 11,17,24,34,35,42
169. 11,17,24,34,37,40
170. 11,17,24,35,39,40
171. 11,17,28,34,35,40
172. 11,17,28,34,39,42
173. 11,17,28,35,37,42
174. 11,17,34,35,37,39
175. 11,17,37,39,40,42
176. 11,18,24,28,35,40
177. 11,18,24,28,37,42
178. 11,18,24,34,35,39
179. 11,18,24,34,40,42
180. 11,18,24,37,39,40
181. 11,18,28,34,35,42
182. 11,18,28,34,37,39
183. 11,18,28,39,40,42
184. 11,18,34,35,37,40
185. 11,18,35,37,39,42
186. 11,24,28,34,35,37
187. 11,24,28,34,39,40
188. 11,24,28,35,39,42
189. 11,24,34,37,39,42
190. 11,24,35,37,40,42
191. 11,28,34,37,40,42
192. 11,28,35,37,39,40
193. 11,34,35,39,40,42
194. 14,17,18,24,28,37
195. 14,17,18,24,34,42
196. 14,17,18,24,35,39
197. 14,17,18,28,34,39
198. 14,17,18,28,35,40
199. 14,17,18,34,37,40
200. 14,17,18,35,37,42
201. 14,17,18,39,40,42
202. 14,17,24,28,34,40
203. 14,17,24,28,39,42
204. 14,17,24,34,35,37
205. 14,17,24,35,40,42
206. 14,17,24,37,39,40
207. 14,17,28,34,35,42
208. 14,17,28,35,37,39
209. 14,17,28,37,40,42
210. 14,17,34,35,39,40
211. 14,17,34,37,39,42
212. 14,18,24,28,34,35
213. 14,18,24,28,40,42
214. 14,18,24,34,39,40
215. 14,18,24,35,37,40
216. 14,18,24,37,39,42
217. 14,18,28,34,37,42
218. 14,18,28,35,39,42
219. 14,18,28,37,39,40
